Squadron_ID,Squadron Name,Sq_Abbreviation,CSS_Email,,,***CSS_EMAILS RANDOMIZED DUE TO PRIVACY ACT***
1,377th Contracting Squadron,377 CS,377CS.css@us.af.mil,,,
2,377th Communications Squadron,377 COMM,377COMM.css@us.af.mil,,,
3,377th Comptroller Squadron,377 CPTS,377CPTS.css@us.af.mil,,,
4,377th Civil Engineer Squadron,377 CE,377CE.css@us.af.mil,,,
5,377th Logistics Readiness Squadron,377 LRS,377LRS.css@us.af.mil,,,
6,377th Force Support Squadron,377 FSS,377FSS.css@us.af.mil,,,
7,377th Aerospace Medicine Squadron,377 AEMS,377AEMS.css@us.af.mil,,,
8,377th Dental Squadron,377 DS,377DS.css@us.af.mil,,,
9,377th Medical Operations Squadron,377 MOS,377MOS.css@us.af.mil,,,
10,377th Medical Support Squadron,377 MSS,377MSS.css@us.af.mil,,,
11,377th Security Forces Squadron,377 SFS,377SFS.css@us.af.mil,,,
12,377th Weapons System Security Squadron,377 WSSS,377WSSS.css@us.af.mil,,,
13,377th Maintenance Squadron,377 MXS,377MXS.css@us.af.mil,,,
14,898th Munitions Squadron,898 MUNS,898MUNS.css@us.af.mil,,,
15,377th Flight Test Missile Maintenance Squadron,377 FTMM,377FTMM.css@us.af.mil,,,
16,377th Test Support Squadron,377 TSS,377TSS.css@us.af.mil,,,
17,576th Flight Test Squadron,576 FTS,576FTS.css@us.af.mil,,,
18,23rd Flying Training Squadron,23 FTS,23FTS.css@us.af.mil,,,
19,36th Rescue Squadron,36 RS,36RS.css@us.af.mil,,,
20,71st Special Operations Squadron,71 SOS,71SOS.css@us.af.mil,,,
21,415th Special Operations Squadron,415 SOS,415SOS.css@us.af.mil,,,
22,512th Rescue Squadron,415 RQS,415RQS.css@us.af.mil,,,
23,188th Rescue Squadron,188 RQS,188RQS.css@us.af.mil,,,
24,250th Intelligence Squadron,250 IS,250IS.css@us.af.mil,,,
25,210th RED HORSE Squadron,210 CE,210CE.css@us.af.mil,,,
26,58th Aircraft Maintenance Squadron,58 AMXS,58AMXS.css@us.af.mil,,,
27,58th Maintenance Squadron,58 MXS,58MXS.css@us.af.mil,,,
28,58th Maintenance Operation Flight,58 MOF,58MOF.css@us.af.mil,,,
29,336th Training Squadron,336 TRS,336TRS.css@us.af.mil,,,
30,66th Training Squadron,66 TRS,66TRS.css@us.af.mil,,,
31,22nd Training Squadron,22 TRS,22TRS.css@us.af.mil,,,
32,58th Training Squadron,58 TRS,58TRS.css@us.af.mil,,,
33,150th Maintenance Squadron,150 MXS,150MXS.css@us.af.mil,,,
34,150th Aircraft Maintenance Squadron,150 AMXS,150AMXS.css@us.af.mil,,,
35,21st Ordinance Company,21 OC,21OC.css@us.af.mil,,,
36,Air Force Inspection Agency,AFIA,AFIA.css@us.af.mil,,,
37,Air Force Nuclear Weapons Center,AFNWC,AFNWC.css@us.af.mil,,,
38,Air Force Operational Test and Evaluation Center,AFOTEC,AFOTEC.css@us.af.mil,,,
39,Air Force Safety Center,AFSE,AFSE.css@us.af.mil,,,
40,Defense Threat Reduction Agencie,DTRA,DTRA.css@us.af.mil,,,
41,Directed Energy,AFRL DE,AFRLDE.css@us.af.mil,,,
42,Space Vehicles,AFRL SV,AFRLSV.css@us.af.mil,,,
43,Space Systems Command,SSC,SSC.css@us.af.mil,,,
