Group_ID,Group_Name,Grp Abbreviations,CSS_Email,,,***CSS_EMAILS RANDOMIZED DUE TO PRIVACY ACT***
1,377 Security Forces Group,377 SFG,377SFG.css@us.af.mil,,,
2,377 Mission Support Group,377 MSG,377MSG.css@us.af.mil,,,
3,377 Medical Group,377 MDG,377MDG.css@us.af.mil,,,
4,377 Test and Evaluation Group,377 TEG,377TEG.css@us.af.mil,,,
5,377th Comptroller Group,377 CPTG,377CPTG.css@us.af.mil,,,
6,58th Maintenance Group,58 MXG,58MXG.css@us.af.mil,,,
7,58th Operations Group,58 OG,58OG.css@us.af.mil,,,
8,336th Training Group,336 TRG,336TRG.css@us.af.mil,,,
9,150th Operations Group,150 OG,150OG.css@us.af.mil,,,
10,150th Maintenance Group,150 MXG,150MXG.css@us.af.mil,,,
11,150th Mission Support Group,150 MSG,150MSG.css@us.af.mil,,,
12,150th Medical Group,150 MDG,150MDG.css@us.af.mil,,,
13,21st Ordinance Group,21 OrdG,21OrdG.css@us.af.mil,,,
14,AFRL Group,AFRLG,AFRLG.css@us.af.mil,,,
15,Air Force Inspection Agency Group,AFIAG,AFIAG.css@us.af.mil,,,
16,Air Force Nuclear Weapon Group,AFNWG,AFNWG.css@us.af.mil,,,
17,Air Force Operation and Test Group,OTG,OTG.css@us.af.mil,,,
18,Air Force Safety Center Group,AFSEG,AFSEG.css@us.af.mil,,,
19,Defense Threat Reduction Group,DTRG,DTRG.css@us.af.mil,,,
