Grp_Location_ID,Address,City,State,,,***ADDRESSES RANDOMIZED DUE TO PRIVACY ACT***
1,673 Sprucewood Lane,Albuquerque,NM,,,
2,952 Maplewood Court,Albuquerque,NM,,,
3,324 Cedar Bluff Road,Albuquerque,NM,,,
4,718 Oakbrook Drive,Albuquerque,NM,,,
5,849 Birchwood Avenue,Albuquerque,NM,,,
6,504 Pinehurst Street,Albuquerque,NM,,,
7,107 Sycamore Bend,Albuquerque,NM,,,
8,876 Hickory Hollow Road,Albuquerque,NM,,,
9,215 Aspen Ridge Lane,Albuquerque,NM,,,
10,649 Willowbrook Drive,Albuquerque,NM,,,
11,387 Chestnut Grove,Albuquerque,NM,,,
12,932 Redwood Terrace,Albuquerque,NM,,,
13,554 Cypress Hill,Albuquerque,NM,,,
14,724 Mulberry Park,Albuquerque,NM,,,
15,418 Dogwood Trail,Albuquerque,NM,,,
16,893 Elmwood Avenue,Albuquerque,NM,,,
17,561 Sequoia Street,Albuquerque,NM,,,
18,379 Magnolia Heights,Albuquerque,NM,,,
19,735 Fir Lane,Albuquerque,NM,,,
